2025-04-25 08:12:20.197 WARN  [HikariPool-1 housekeeper][HikariPool:788] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=8h32m44s187ms264µs100ns).
2025-04-25 10:55:40.197 WARN  [HikariPool-1 housekeeper][HikariPool:788] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h12m49s858ms345µs400ns).
2025-04-25 11:23:25.799 WARN  [HikariPool-1 housekeeper][HikariPool:788] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=25m15s614ms364µs700ns).
2025-04-25 20:27:55.262 WARN  [HikariPool-1 housekeeper][HikariPool:788] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h4m27s203ms793µs700ns).
2025-04-25 21:20:27.619 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.api-1.0.0.jar
2025-04-25 21:20:33.411 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:71] STOPPED com.kefaihub.rest.api_1.0.0 [1391]
2025-04-25 21:20:33.662 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.impl-1.0.0.jar
2025-04-25 21:20:33.701 INFO  [Refresh Thread: Equinox Container: 1f845bde-bb4f-4875-bc6f-21e3504cf437][BundleStartStopLogger:71] STOPPED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:20:33.904 INFO  [Refresh Thread: Equinox Container: 1f845bde-bb4f-4875-bc6f-21e3504cf437][BundleStartStopLogger:68] STARTED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:20:34.436 INFO  [Refresh Thread: Equinox Container: 1f845bde-bb4f-4875-bc6f-21e3504cf437][BundleStartStopLogger:68] STARTED com.kefaihub.rest.api_1.0.0 [1391]
2025-04-25 21:20:44.602 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:71] STOPPED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:20:44.710 INFO  [Refresh Thread: Equinox Container: 1f845bde-bb4f-4875-bc6f-21e3504cf437][BundleStartStopLogger:68] STARTED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:42:40.258 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.api-1.0.0.jar
2025-04-25 21:42:43.262 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.impl-1.0.0.jar
2025-04-25 21:42:53.070 INFO  [fileinstall-directory-watcher][BundleStartStopLogger:71] STOPPED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:42:53.114 INFO  [Refresh Thread: Equinox Container: 1f845bde-bb4f-4875-bc6f-21e3504cf437][BundleStartStopLogger:68] STARTED com.kefaihub.rest.impl_1.0.0 [1392]
2025-04-25 21:45:40.357 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.api-1.0.0.jar
2025-04-25 21:45:43.367 INFO  [com.liferay.portal.kernel.deploy.auto.AutoDeployScanner][AutoDeployDir:212] Processing com.kefaihub.rest.impl-1.0.0.jar
